,Tên sản phẩm,Giá tiền,thương hiệu,số hiệu sản phẩm,xuất xứ,giới tính,kính,máy,bảo hành quốc tế,bảo hành tại hải triều,đường kính mặt số,bề dày mặt số,niềng,dây đeo,màu mặt số,chống nước,chức năng,nơi sản xuất
79,Frederique,39.040.000,Frederique Constant,FC-303V4C4,Thụy Sỹ,Nam,Sapphire (Kính Chống Trầy),Automatic (Cơ Tự Động),2 Năm,4 Năm – RED Guarantee,30.4 mm x 33.3 mm,9.71 mm,Thép Không Gỉ,Dây Da Chính Hãng,Trắng,3 ATM,Lịch Ngày,Thụy Sỹ
80,Citizen,10.385.000,Citizen,EM0536-84Y,Nhật Bản,Nữ,Sapphire (Kính Chống Trầy),Eco-Drive (Năng Lượng Ánh Sáng),1 Năm,5 Năm,28.7 mm,7.8 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng Xà Cừ,5 ATM,,
81,Doxa,17.350.000,Doxa,D202RSV,Thụy Sỹ,Nữ,Sapphire (Kính Chống Trầy),Quartz (Pin),2 Năm,4 Năm – RED Guarantee,30 mm,6.05 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,,Thụy Sỹ
82,Casio,3.058.000,Casio,MTP-B305D-7EVDF,Nhật Bản,Nam,Mineral (Kính Cứng),Quartz (Pin),1 Năm,,41 mm,10.3 mm,,,Trắng,5 ATM,Lịch Ngày – Lịch Thứ – Đồng Hồ 24 Giờ,Trung Quốc
83,OP,2.830.000,Olym Pianus (Olympia Star),5697MK-V,Nhật Bản,Nam,Sapphire (Kính Chống Trầy),Quartz (Pin),2 Năm,5 Năm,40 mm,11 mm,Thép Không Gỉ,Thép Không Gỉ,Vàng,3 ATM,Lịch Ngày,
84,Seiko,5.620.000,Seiko,SUR299P1,Nhật Bản,Nam,Sapphire (Kính Chống Trầy),Quartz (Pin),1 Năm,5 Năm,39 mm,8 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,Lịch Ngày,
85,G-Shock,3.628.000,Casio,GA-2100-4ADR,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),5 Năm,,48.5 mm × 45.4 mm,11.8 mm,Nhựa,Dây Cao Su,Đỏ,20 ATM,Lịch – Bộ Bấm Giờ – Giờ Kép – Đèn Led – Vài Chức Năng Khác,Trung Quốc
86,Orient,8.320.000,Orient,RA-AP0005B10B,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Automatic (Tự Động),1 Năm,5 Năm,40.5 mm,12 mm,Thép Không Gỉ,Dây Da Chính Hãng,Đen,3 ATM,Lịch Ngày,Trung Quốc
87,SR,2.450.000,SR,SL5008.1401BL,Nhật Bản,Nữ,Sapphire (Kính Chống Trầy),Quartz (Pin),1 Năm,5 Năm,32 mm,5 mm,Thép Không Gỉ,Thép Không Gỉ,Đen,5 ATM,Lịch Ngày,Trung Quốc
88,SR,7.250.000,SR,SG19193.4102,Nhật Bản,Nam,Sapphire (Kính Chống Trầy),Automatic (Cơ Tự Động),1 Năm,5 Năm,42 mm,11.8 mm,Thép Không Gỉ,Dây Da Chính Hãng,Trắng,5 ATM,,Trung Quốc
