Thương hiệu,Giá tiền (VNĐ),Chất liệu dây,Chất liệu vỏ,Xuất xứ,Giới tính,Chất liệu mặt kính,Độ chịu nước (ATM),Bảo hành,Kiểu máy,Kích cỡ (mm)
Certina,15940000,Dây da,Thép không gỉ,Thụy Sĩ,Nữ,Kính sapphire,10,2,Automatic,28
Stefano Ricci,2650000,Dây da,Thép không gỉ,Nhật Bản,Nam,Kính sapphire,5,1,Quartz,39
Orient,7510000,Dây da,Thép không gỉ,Nhật Bản,Nam,Kính cứng,3,1,Automatic,42.5
Orient,7072000,Dây da,Thép không gỉ,Nhật Bản,Nam,Kính cứng,3,1,Automatic,40.5
Citizen,2952000,Thép không gỉ,Thép không gỉ,Trung Quốc,Nam,Kính cứng,5,1,Quartz,39
Certina,21450000,Thép không gỉ,Thép không gỉ,Thụy Sĩ,Nữ,Kính sapphire,10,2,Automatic,29
Tissot,16800000,Thép không gỉ,Thép không gỉ,Thụy Sĩ,Nam,Kính sapphire,10,2,Quartz,41
Q&Q Citizen,1674000,Thép không gỉ,Thép không gỉ,Trung Quốc,Nam,Kính cứng,5,1,Quartz,40
Seiko,5263200,Thép không gỉ,Thép không gỉ,Nhật Bản,Nam,Kính cứng,10,1,Quartz,41
Olym Pianus,3726000,Thép không gỉ,Thép không gỉ,Thụy Sĩ,Nam,Kính sapphire,5,2,Quartz,40
